INDEX,"HOU,C,3","PSH,C,5","PARISH,N,2,0","TYPE,C,4","CITY,C,17","STATE,C,2","ZIP,C,5","AGE,C,3","GENDER,C,1","RACE,C,1","PARTY_ID,C,1","VOTE_FREQ,C,1","PPP,C,1 (P for presidential primary)","NEW,C,1","How they vote (in person, mail, early)","MAIL_CITY,C,28","MAIL_STATE,C,20","MAIL_ZIP,C,5"
26,90,StTam,52,Land,SLIDELL,LA,70458,50,F,B,D,3,,,I,SLIDELL,LA,70458
27,90,StTam,52,,SLIDELL,LA,70458,61,F,W,D,3,,,,SLIDELL,LA,70458
28,90,StTam,52,,SLIDELL,LA,70458,98,F,W,D,8,P,,M,SLIDELL,LA,70458
29,90,StTam,52,,SLIDELL,LA,70460,22,F,W,D,1,,,,SLIDELL,LA,70460
30,90,StTam,52,,SLIDELL,LA,70460,23,F,W,D,1,,,E,SLIDELL,LA,70460
31,90,StTam,52,Land,SLIDELL,LA,70458,77,F,W,D,1,,,E,SLIDELL,LA,70458
32,90,StTam,52,,SLIDELL,LA,70458,54,F,B,D,1,,,I,SLIDELL,LA,70458
33,90,StTam,52,Land,SLIDELL,LA,70458,71,F,W,D,5,P,,I,SLIDELL,LA,70458
34,90,StTam,52,Land,SLIDELL,LA,70458,91,F,W,D,3,,,I,SLIDELL,LA,70458
35,90,StTam,52,,SLIDELL,LA,70460,76,F,O,D,8,P,,M,SLIDELL,LA,70460
36,90,StTam,52,,SLIDELL,LA,70460,83,M,B,D,9,P,,I,SLIDELL,LA,70460
37,90,StTam,52,,SLIDELL,LA,70460,75,F,B,D,8,P,,I,SLIDELL,LA,70460
38,90,StTam,52,,SLIDELL,LA,70460,52,M,B,D,4,,,I,SLIDELL,LA,70460
39,90,StTam,52,Cell,SLIDELL,LA,70460,35,M,W,D,6,P,,E,SLIDELL,LA,70460
40,90,StTam,52,,SLIDELL,LA,70458,52,F,W,D,3,,,E,SLIDELL,LA,70458
41,90,StTam,52,,SLIDELL,LA,70458,64,M,A,D,1,,,E,SLIDELL,LA,70458
42,90,StTam,52,Land,SLIDELL,LA,70460,44,F,B,D,1,,,,LACOMBE,LA,70445
43,90,StTam,52,Land,SLIDELL,LA,70458,54,F,W,D,3,,,E,SLIDELL,LA,70458
44,90,StTam,52,,SLIDELL,LA,70458,73,M,W,D,2,,,E,SLIDELL,LA,70458
45,90,StTam,52,,SLIDELL,LA,70458,67,F,W,D,2,,N,E,SLIDELL,LA,70458
46,90,StTam,52,,SLIDELL,LA,70460,52,F,B,D,1,,,,SLIDELL,LA,70460
47,90,StTam,52,,SLIDELL,LA,70460,54,M,W,D,1,,,E,SLIDELL,LA,70460
48,90,StTam,52,,SLIDELL,LA,70460,49,F,H,D,1,,,E,SLIDELL,LA,70460
49,90,StTam,52,Land,SLIDELL,LA,70458,69,M,W,D,7,,,E,SLIDELL,LA,70458
50,90,StTam,52,,SLIDELL,LA,70458,62,F,W,D,2,,,I,SLIDELL,LA,70458
51,90,StTam,52,,SLIDELL,LA,70458,50,M,B,D,2,P,N,E,SLIDELL,LA,70458
52,90,StTam,52,Cell,SLIDELL,LA,70458,49,M,B,D,4,,N,E,SLIDELL,LA,70458
53,90,StTam,52,Land,SLIDELL,LA,70460,42,F,W,D,1,,,I,SLIDELL,LA,70460
54,90,StTam,52,Cell,SLIDELL,LA,70458,60,F,W,D,7,P,,I,SLIDELL,LA,70458
55,90,StTam,52,,PEARL RIVER,LA,70452,73,F,W,D,1,,,I,PEARL RIVER,LA,70452
56,90,StTam,52,,SLIDELL,LA,70458,50,F,B,D,3,,,I,SLIDELL,LA,70458
57,90,StTam,52,,SLIDELL,LA,70460,57,F,W,D,A,P,,E,SLIDELL,LA,70460
58,90,StTam,52,Land,SLIDELL,LA,70460,60,M,B,D,4,,,E,SLIDELL,LA,70460
59,90,StTam,52,,SLIDELL,LA,70458,53,M,B,D,1,P,,,GRETNA,LA,70054
60,90,StTam,52,,SLIDELL,LA,70458,29,F,B,D,2,P,,E,SLIDELL,LA,70458
61,90,StTam,52,,SLIDELL,LA,70460,76,F,W,D,3,,,E,SLIDELL,LA,70460
62,90,StTam,52,Land,SLIDELL,LA,70460,86,M,W,D,7,P,,M,SLIDELL,LA,70460
63,90,StTam,52,,SLIDELL,LA,70460,84,F,W,D,5,P,,M,SLIDELL,LA,70460
64,90,StTam,52,,SLIDELL,LA,70458,53,M,W,D,5,,,I,SLIDELL,LA,70458
65,90,StTam,52,Land,SLIDELL,LA,70460,89,M,B,D,4,,,I,SLIDELL,LA,70460
66,90,StTam,52,,SLIDELL,LA,70460,86,F,B,D,5,,,I,SLIDELL,LA,70460
67,90,StTam,52,Land,SLIDELL,LA,70458,48,F,B,D,3,,,E,SLIDELL,LA,70458
68,90,StTam,52,,SLIDELL,LA,70458,28,M,B,D,1,,,E,SLIDELL,LA,70458
69,90,StTam,52,Land,SLIDELL,LA,70458,40,M,W,D,1,,,I,SLIDELL,LA,70458
70,90,StTam,52,Land,SLIDELL,LA,70458,66,F,W,D,2,,,E,SLIDELL,LA,70458
71,90,StTam,52,,SLIDELL,LA,70458,73,M,W,D,A,P,,E,SLIDELL,LA,70458
72,90,StTam,52,Cell,SLIDELL,LA,70458,63,F,W,D,2,P,,I,SLIDELL,LA,70458
73,90,StTam,52,,SLIDELL,LA,70458,38,F,W,D,1,,,E,SLIDELL,LA,70458
74,90,StTam,52,Cell,SLIDELL,LA,70458,65,F,W,D,5,P,,I,SLIDELL,LA,70458
75,90,StTam,52,,SLIDELL,LA,70458,79,M,W,D,8,P,,I,SLIDELL,LA,70458
76,90,StTam,52,,SLIDELL,LA,70458,73,F,W,D,A,P,,E,SLIDELL,LA,70458
77,90,StTam,52,Land,SLIDELL,LA,70460,70,M,B,D,7,P,,I,SLIDELL,LA,70460
78,90,StTam,52,,SLIDELL,LA,70460,40,M,W,D,2,,,I,SLIDELL,LA,70460
79,90,StTam,52,,SLIDELL,LA,70458,46,M,B,D,1,,N,I,SLIDELL,LA,70458
80,90,StTam,52,Land,SLIDELL,LA,70458,68,M,W,D,3,P,,E,SLIDELL,LA,70458
81,90,StTam,52,Land,PEARL RIVER,LA,70452,82,F,B,D,6,P,,E,PEARL RIVER,LA,70452
82,90,StTam,52,Land,SLIDELL,LA,70458,74,M,B,D,2,,,M,SLIDELL,LA,70458
83,90,StTam,52,,SLIDELL,LA,70458,65,F,B,D,9,P,,E,SLIDELL,LA,70458
84,90,StTam,52,,SLIDELL,LA,70458,79,M,B,D,A,P,,E,SLIDELL,LA,70458
85,90,StTam,52,,SLIDELL,LA,70458,46,F,O,D,3,,N,E,SLIDELL,LA,70458
86,90,StTam,52,Cell,SLIDELL,LA,70460,63,F,O,D,3,,,I,SLIDELL,LA,70460
87,90,StTam,52,,SLIDELL,LA,70458,31,F,B,D,1,,,E,SLIDELL,LA,70458
88,90,StTam,52,Land,SLIDELL,LA,70460,88,F,W,D,4,,,M,SLIDELL,LA,70460
89,90,StTam,52,Land,SLIDELL,LA,70458,67,F,B,D,1,,,I,SLIDELL,LA,70458
90,90,StTam,52,Land,SLIDELL,LA,70458,45,F,B,D,1,,,I,SLIDELL,LA,70458
91,90,StTam,52,Cell,SLIDELL,LA,70460,81,M,W,D,8,P,,M,SLIDELL,LA,70460
92,90,StTam,52,,SLIDELL,LA,70460,74,F,W,D,8,P,,M,SLIDELL,LA,70460
93,90,StTam,52,Land,SLIDELL,LA,70458,65,F,O,D,4,,,I,SLIDELL,LA,70458
94,90,StTam,52,,SLIDELL,LA,70458,54,F,B,D,5,P,,E,SLIDELL,LA,70458
95,90,StTam,52,,SLIDELL,LA,70458,81,M,W,D,7,P,,I,SLIDELL,LA,70458
96,90,StTam,52,,SLIDELL,LA,70458,20,F,B,D,3,,N,,SLIDELL,LA,70458
97,90,StTam,52,,SLIDELL,LA,70458,77,F,B,D,A,P,,E,SLIDELL,LA,70458
98,90,StTam,52,Land,SLIDELL,LA,70458,55,M,W,D,1,,,,SLIDELL,LA,70458
99,90,StTam,52,Land,SLIDELL,LA,70458,68,F,A,D,2,,,M,SLIDELL,LA,70458
100,90,StTam,52,,SLIDELL,LA,70460,27,F,W,D,1,,,E,SLIDELL,LA,70460
101,90,StTam,52,,SLIDELL,LA,70460,46,F,H,D,1,,,E,SLIDELL,LA,70460
102,90,StTam,52,Land,SLIDELL,LA,70458,70,F,O,D,3,P,,E,SLIDELL,LA,70458
103,90,StTam,52,Land,SLIDELL,LA,70458,66,M,W,D,3,,,E,SLIDELL,LA,70458
104,90,StTam,52,Cell,SLIDELL,LA,70458,59,F,W,D,2,,,E,SLIDELL,LA,70458
105,90,StTam,52,,SLIDELL,LA,70460,65,M,B,D,1,,,E,SLIDELL,LA,70460
106,90,StTam,52,Land,SLIDELL,LA,70460,68,F,B,D,6,P,,E,SLIDELL,LA,70460
107,90,StTam,52,Land,SLIDELL,LA,70460,30,F,B,D,2,,,I,SLIDELL,LA,70460
108,90,StTam,52,Cell,SLIDELL,LA,70458,38,M,W,D,8,,,E,SLIDELL,LA,70458
109,90,StTam,52,Land,SLIDELL,LA,70458,55,F,W,D,5,,,E,SLIDELL,LA,70458
110,90,StTam,52,,SLIDELL,LA,70460,29,F,W,D,8,,N,,SLIDELL,LA,70460
111,90,StTam,52,Land,SLIDELL,LA,70458,77,M,W,D,1,,,I,SLIDELL,LA,70458
112,90,StTam,52,Land,SLIDELL,LA,70458,56,F,B,D,4,P,,E,SLIDELL,LA,70458
113,90,StTam,52,Land,SLIDELL,LA,70458,62,M,B,D,5,,,I,SLIDELL,LA,70458
114,90,StTam,52,,SLIDELL,LA,70458,55,F,I,D,5,P,,I,SLIDELL,LA,70458
115,90,StTam,52,Cell,SLIDELL,LA,70458,54,F,B,D,2,,,E,SLIDELL,LA,70458
116,90,StTam,52,,SLIDELL,LA,70458,61,M,O,D,2,P,,E,SLIDELL,LA,70459
117,90,StTam,52,Land,SLIDELL,LA,70458,32,M,W,D,2,,N,E,SLIDELL,LA,70458
118,90,StTam,52,Land,SLIDELL,LA,70458,49,M,B,D,2,,N,E,SLIDELL,LA,70458
119,90,StTam,52,Land,SLIDELL,LA,70458,47,F,B,D,2,,N,E,SLIDELL,LA,70458
120,90,StTam,52,Land,PEARL RIVER,LA,70452,70,M,W,D,7,,,E,PEARL RIVER,LA,70452
121,90,StTam,52,Land,SLIDELL,LA,70460,48,F,B,D,4,P,,I,SLIDELL,LA,70460
122,90,StTam,52,,SLIDELL,LA,70460,30,F,B,D,1,,N,E,SLIDELL,LA,70460
123,90,StTam,52,,SLIDELL,LA,70458,42,F,W,D,1,,,I,SLIDELL,LA,70458
124,90,StTam,52,Land,SLIDELL,LA,70458,52,F,B,D,6,,N,E,SLIDELL,LA,70458
125,90,StTam,52,,SLIDELL,LA,70460,83,F,W,D,4,,,E,SLIDELL,LA,70460
126,90,StTam,52,Land,SLIDELL,LA,70458,85,M,W,D,3,,,E,SLIDELL,LA,70458
127,90,StTam,52,Land,SLIDELL,LA,70458,82,F,W,D,4,,,E,SLIDELL,LA,70458
128,90,StTam,52,Land,SLIDELL,LA,70458,67,M,W,D,9,P,,E,SLIDELL,LA,70458
129,90,StTam,52,Cell,SLIDELL,LA,70460,66,F,B,D,2,,,I,SLIDELL,LA,70460
130,90,StTam,52,Land,SLIDELL,LA,70458,64,F,B,D,4,P,,I,SLIDELL,LA,70458
131,90,StTam,52,Land,PEARL RIVER,LA,70452,53,M,W,D,2,,,E,PEARL RIVER,LA,70452
132,90,StTam,52,,SLIDELL,LA,70460,74,M,B,D,5,,,I,SLIDELL,LA,70460
133,90,StTam,52,,SLIDELL,LA,70460,53,M,B,D,3,,,I,SLIDELL,LA,70460
134,90,StTam,52,,SLIDELL,LA,70460,31,F,B,D,3,,N,E,SLIDELL,LA,70460
135,90,StTam,52,Land,SLIDELL,LA,70458,57,M,W,D,3,,,I,SLIDELL,LA,70458
136,90,StTam,52,,SLIDELL,LA,70458,92,M,W,D,3,,,I,SLIDELL,LA,70458
137,90,StTam,52,Land,SLIDELL,LA,70458,90,F,W,D,3,,,I,SLIDELL,LA,70458
138,90,StTam,52,Land,SLIDELL,LA,70458,85,M,W,D,5,,,I,SLIDELL,LA,70458
139,90,StTam,52,,SLIDELL,LA,70458,85,F,W,D,5,,,I,SLIDELL,LA,70458
140,90,StTam,52,,SLIDELL,LA,70458,74,M,B,D,4,,,I,SLIDELL,LA,70458
141,90,StTam,52,,SLIDELL,LA,70458,64,F,B,D,3,,,I,SLIDELL,LA,70458
142,90,StTam,52,,SLIDELL,LA,70460,54,M,B,D,3,,,I,SLIDELL,LA,70460
143,90,StTam,52,Land,SLIDELL,LA,70460,55,F,B,D,7,P,,I,SLIDELL,LA,70460
144,90,StTam,52,,SLIDELL,LA,70460,50,F,B,D,6,P,,I,SLIDELL,LA,70460
145,90,StTam,52,,SLIDELL,LA,70458,45,F,B,D,A,P,N,E,SLIDELL,LA,70458
146,90,StTam,52,Land,SLIDELL,LA,70458,78,M,W,D,A,P,,E,SLIDELL,LA,70458
147,90,StTam,52,Cell,SLIDELL,LA,70458,47,F,W,D,5,,,I,SLIDELL,LA,70458
148,90,StTam,52,,SLIDELL,LA,70458,37,F,O,D,1,,,,SLIDELL,LA,70458
149,90,StTam,52,,PEARL RIVER,LA,70452,37,F,W,D,2,,,E,PEARL RIVER,LA,70452
150,90,StTam,52,,PEARL RIVER,LA,70452,80,M,B,D,3,P,,E,PEARL RIVER,LA,70452
151,90,StTam,52,Land,SLIDELL,LA,70460,54,F,B,D,2,,,E,SLIDELL,LA,70460
152,90,StTam,52,,SLIDELL,LA,70458,36,F,B,D,1,,N,E,SLIDELL,LA,70469
153,90,StTam,52,Land,SLIDELL,LA,70458,39,M,B,D,4,P,,I,SLIDELL,LA,70458
154,90,StTam,52,,SLIDELL,LA,70458,59,F,B,D,4,,,I,SLIDELL,LA,70458
155,90,StTam,52,Land,SLIDELL,LA,70458,81,F,W,D,7,,,E,SLIDELL,LA,70458
156,90,StTam,52,Land,SLIDELL,LA,70460,68,F,B,D,4,P,,E,SLIDELL,LA,70460
157,90,StTam,52,,SLIDELL,LA,70460,38,F,W,D,2,P,,I,SLIDELL,LA,70460
158,90,StTam,52,,SLIDELL,LA,70458,72,F,W,D,A,P,,E,SLIDELL,LA,70458
159,90,StTam,52,Land,SLIDELL,LA,70460,88,M,W,D,9,P,,M,SLIDELL,LA,70460
160,90,StTam,52,,SLIDELL,LA,70460,77,M,B,D,1,,,I,SLIDELL,LA,70460
161,90,StTam,52,,SLIDELL,LA,70458,24,F,B,D,2,,,I,SLIDELL,LA,70458
162,90,StTam,52,,SLIDELL,LA,70458,71,M,W,D,6,P,,E,SLIDELL,LA,70458
163,90,StTam,52,,SLIDELL,LA,70458,68,F,W,D,6,P,,E,SLIDELL,LA,70458
164,90,StTam,52,,SLIDELL,LA,70458,56,M,H,D,8,,,E,SLIDELL,LA,70458
165,90,StTam,52,,SLIDELL,LA,70458,55,F,W,D,8,,,E,SLIDELL,LA,70458
166,90,StTam,52,Land,SLIDELL,LA,70458,69,M,H,D,4,P,,E,SLIDELL,LA,70458
167,90,StTam,52,,SLIDELL,LA,70460,23,M,B,D,2,,,I,SLIDELL,LA,70460
168,90,StTam,52,Land,SLIDELL,LA,70460,69,F,W,D,1,,,I,SLIDELL,LA,70460
169,90,StTam,52,,SLIDELL,LA,70458,80,F,B,D,6,P,,M,SLIDELL,LA,70458
170,90,StTam,52,,SLIDELL,LA,70458,51,M,B,D,5,,,I,SLIDELL,LA,70458
171,90,StTam,52,,SLIDELL,LA,70458,48,F,B,D,4,,,I,SLIDELL,LA,70458
172,90,StTam,52,,SLIDELL,LA,70458,21,F,B,D,1,,,M,SLIDELL,LA,70458
173,90,StTam,52,Land,SLIDELL,LA,70458,47,F,W,D,2,,,I,SLIDELL,LA,70458
174,90,StTam,52,Land,SLIDELL,LA,70458,70,F,W,D,1,,,,SLIDELL,LA,70458
175,90,StTam,52,,SLIDELL,LA,70460,27,F,B,D,1,,,E,SLIDELL,LA,70460
176,90,StTam,52,,PEARL RIVER,LA,70452,39,M,W,D,1,,,E,PEARL RIVER,LA,70452
177,90,StTam,52,Land,SLIDELL,LA,70458,62,M,W,D,6,P,,E,SLIDELL,LA,70458
178,90,StTam,52,Land,SLIDELL,LA,70458,26,M,H,D,4,,,I,SLIDELL,LA,70458
179,90,StTam,52,Cell,SLIDELL,LA,70458,36,F,B,D,2,,,E,SLIDELL,LA,70458
180,90,StTam,52,Land,SLIDELL,LA,70458,84,M,W,D,8,P,,I,SLIDELL,LA,70458
181,90,StTam,52,,SLIDELL,LA,70460,65,M,W,D,2,,,E,SLIDELL,LA,70460
182,90,StTam,52,,SLIDELL,LA,70460,63,F,W,D,4,,,E,SLIDELL,LA,70460
183,90,StTam,52,Land,SLIDELL,LA,70458,57,F,B,D,1,,,I,SLIDELL,LA,70458
184,90,StTam,52,Land,PEARL RIVER,LA,70452,74,M,W,D,7,,,I,PEARL RIVER,LA,70452
185,90,StTam,52,,PEARL RIVER,LA,70452,73,F,W,D,7,,,I,PEARL RIVER,LA,70452
186,90,StTam,52,Land,SLIDELL,LA,70458,83,M,W,D,6,P,,M,SLIDELL,LA,70458
187,90,StTam,52,,PEARL RIVER,LA,70452,30,M,W,D,1,,N,I,PEARL RIVER,LA,70452
188,90,StTam,52,Land,SLIDELL,LA,70458,71,M,W,D,8,,,I,SLIDELL,LA,70458
189,90,StTam,52,,SLIDELL,LA,70458,67,F,W,D,8,P,,I,SLIDELL,LA,70458
190,90,StTam,52,Land,SLIDELL,LA,70458,66,F,B,D,6,,,I,SLIDELL,LA,70458
191,90,StTam,52,Land,SLIDELL,LA,70458,40,F,B,D,5,,,I,SLIDELL,LA,70458
192,90,StTam,52,,SLIDELL,LA,70458,35,F,B,D,3,,,I,SLIDELL,LA,70458
193,90,StTam,52,,SLIDELL,LA,70458,18,F,O,D,*,,N,,SLIDELL,LA,70458
194,90,StTam,52,Land,SLIDELL,LA,70460,92,F,W,D,5,P,,I,SLIDELL,LA,70460
195,90,StTam,52,,SLIDELL,LA,70460,65,F,W,D,2,P,,I,SLIDELL,LA,70460
196,90,StTam,52,Land,SLIDELL,LA,70460,63,M,W,D,9,P,,I,SLIDELL,LA,70460
197,90,StTam,52,Land,SLIDELL,LA,70460,60,F,B,D,A,P,,E,SLIDELL,LA,70460
198,90,StTam,52,Land,SLIDELL,LA,70458,79,M,W,D,8,P,,E,SLIDELL,LA,70458
199,90,StTam,52,Land,SLIDELL,LA,70460,36,F,W,D,1,P,,E,SLIDELL,LA,70460
200,90,StTam,52,,SLIDELL,LA,70458,64,M,B,D,3,P,,I,SLIDELL,LA,70458
201,90,StTam,52,Land,SLIDELL,LA,70458,63,F,B,D,3,P,,I,SLIDELL,LA,70458
202,90,StTam,52,,SLIDELL,LA,70458,35,F,B,D,3,P,,I,SLIDELL,LA,70458
203,90,StTam,52,,SLIDELL,LA,70460,62,M,B,D,4,P,,E,SLIDELL,LA,70460
204,90,StTam,52,Land,SLIDELL,LA,70458,97,F,W,D,7,,,M,SLIDELL,LA,70458
205,90,StTam,52,,SLIDELL,LA,70458,71,F,W,D,8,P,,M,SLIDELL,LA,70458
206,90,StTam,52,Land,SLIDELL,LA,70458,43,F,B,D,2,P,,E,SLIDELL,LA,70458
207,90,StTam,52,Land,SLIDELL,LA,70458,25,F,B,D,1,,,E,SLIDELL,LA,70458
208,90,StTam,52,,SLIDELL,LA,70460,26,F,W,D,1,,,E,SLIDELL,LA,70460
209,90,StTam,52,,SLIDELL,LA,70458,57,F,B,D,8,P,,I,SLIDELL,LA,70458
210,90,StTam,52,,SLIDELL,LA,70460,65,F,B,D,2,,,I,SLIDELL,LA,70460
211,90,StTam,52,,SLIDELL,LA,70460,61,M,W,D,1,,,E,SLIDELL,LA,70460
212,90,StTam,52,,SLIDELL,LA,70460,63,F,B,D,A,P,,E,SLIDELL,LA,70460
213,90,StTam,52,,SLIDELL,LA,70458,68,F,W,D,5,P,,I,SLIDELL,LA,70458
214,90,StTam,52,Cell,SLIDELL,LA,70460,74,M,W,D,A,P,,E,SLIDELL,LA,70460
215,90,StTam,52,Land,SLIDELL,LA,70458,33,M,W,D,3,,,E,SLIDELL,LA,70458
216,90,StTam,52,,SLIDELL,LA,70460,46,F,O,D,4,,,I,SLIDELL,LA,70460
217,90,StTam,52,,SLIDELL,LA,70458,56,F,W,D,6,P,,E,SLIDELL,LA,70458
218,90,StTam,52,Land,SLIDELL,LA,70458,61,F,W,D,8,P,,I,SLIDELL,LA,70458
219,90,StTam,52,,SLIDELL,LA,70458,64,F,B,D,4,,,E,SLIDELL,LA,70458
220,90,StTam,52,,SLIDELL,LA,70458,45,F,B,D,1,,,E,SLIDELL,LA,70458
221,90,StTam,52,,SLIDELL,LA,70458,37,F,B,D,4,,,E,SLIDELL,LA,70458
222,90,StTam,52,Land,SLIDELL,LA,70458,22,F,B,D,4,,,E,SLIDELL,LA,70458
223,90,StTam,52,,SLIDELL,LA,70460,73,F,W,D,6,P,,E,SLIDELL,LA,70460
224,90,StTam,52,,SLIDELL,LA,70458,87,M,W,D,9,P,,I,SLIDELL,LA,70458
225,90,StTam,52,,SLIDELL,LA,70458,82,F,W,D,9,P,,I,SLIDELL,LA,70458
226,90,StTam,52,Land,SLIDELL,LA,70458,60,M,W,D,3,,,I,SLIDELL,LA,70458
227,90,StTam,52,Land,SLIDELL,LA,70460,52,M,W,D,4,P,,,SLIDELL,LA,70460
228,90,StTam,52,Land,SLIDELL,LA,70458,79,F,W,D,8,,,M,SLIDELL,LA,70458
229,90,StTam,52,Land,SLIDELL,LA,70458,56,F,W,D,5,,,I,SLIDELL,LA,70458
230,90,StTam,52,Land,SLIDELL,LA,70458,74,M,W,D,6,P,,E,SLIDELL,LA,70458
231,90,StTam,52,Land,SLIDELL,LA,70458,25,M,W,D,1,,,E,SLIDELL,LA,70458
232,90,StTam,52,,SLIDELL,LA,70458,66,F,W,D,1,,,,SLIDELL,LA,70458
233,90,StTam,52,Land,SLIDELL,LA,70460,77,F,B,D,7,P,,E,SLIDELL,LA,70460
234,90,StTam,52,,PEARL RIVER,LA,70452,72,F,W,D,5,P,,I,PEARL RIVER,LA,70452
235,90,StTam,52,,SLIDELL,LA,70460,40,F,B,D,3,,,E,SLIDELL,LA,70460
236,90,StTam,52,Land,SLIDELL,LA,70460,79,M,W,D,8,P,,E,SLIDELL,LA,70460
237,90,StTam,52,,SLIDELL,LA,70460,75,F,W,D,A,P,,E,SLIDELL,LA,70460
238,90,StTam,52,Cell,SLIDELL,LA,70460,73,F,W,D,9,P,,I,SLIDELL,LA,70460
239,90,StTam,52,Land,SLIDELL,LA,70458,24,F,W,D,1,,,I,SLIDELL,LA,70458
240,90,StTam,52,,SLIDELL,LA,70458,48,F,O,D,A,P,,E,SLIDELL,LA,70458
241,90,StTam,52,Cell,SLIDELL,LA,70458,50,M,B,D,A,P,N,E,SLIDELL,LA,70458
242,90,StTam,52,,SLIDELL,LA,70460,53,F,B,D,3,,,I,SLIDELL,LA,70460
243,90,StTam,52,Cell,SLIDELL,LA,70458,46,F,B,D,A,P,N,E,SLIDELL,LA,70458
244,90,StTam,52,Land,SLIDELL,LA,70460,97,M,B,D,1,P,,,SLIDELL,LA,70460
245,90,StTam,52,Land,SLIDELL,LA,70460,68,M,B,D,5,P,,I,SLIDELL,LA,70460
246,90,StTam,52,Cell,SLIDELL,LA,70460,75,F,B,D,5,P,,I,SLIDELL,LA,70460
247,90,StTam,52,,SLIDELL,LA,70458,71,M,W,D,A,P,,E,SLIDELL,LA,70458
248,90,StTam,52,,SLIDELL,LA,70460,36,M,B,D,7,P,,I,SLIDELL,LA,70460
249,90,StTam,52,,SLIDELL,LA,70458,73,M,O,D,6,P,,E,SLIDELL,LA,70459
250,90,StTam,52,,SLIDELL,LA,70458,41,F,B,D,4,,,I,SLIDELL,LA,70458
251,90,StTam,52,Land,SLIDELL,LA,70460,49,M,W,D,5,,,I,SLIDELL,LA,70460
252,90,StTam,52,Land,SLIDELL,LA,70460,40,M,W,D,6,,,I,SLIDELL,LA,70460
253,90,StTam,52,Land,SLIDELL,LA,70460,75,M,B,D,7,P,,I,SLIDELL,LA,70460
254,90,StTam,52,Land,SLIDELL,LA,70460,70,F,B,D,6,P,,I,SLIDELL,LA,70460
255,90,StTam,52,,SLIDELL,LA,70458,71,M,W,D,2,,,E,SLIDELL,LA,70458
256,90,StTam,52,,SLIDELL,LA,70460,35,M,B,D,4,,,I,SLIDELL,LA,70460
257,90,StTam,52,,SLIDELL,LA,70458,77,F,W,D,5,,,M,SLIDELL,LA,70458
